size,type,task,accuracy,batch
7b,continued_pretraining,winogrande,0.5201262825572218,25200
7b,continued_pretraining,arc_easy,0.49242424242424243,34200
7b,continued_pretraining,piqa,0.6507072905331882,34200
7b,continued_pretraining,sciq,0.824,34200
7b,continued_pretraining,winogrande,0.5146014206787688,34200
7b,continued_pretraining,arc_easy,0.4852693602693603,36000
7b,continued_pretraining,piqa,0.6523394994559304,36000
7b,continued_pretraining,sciq,0.82,36000
7b,continued_pretraining,winogrande,0.5201262825572218,36000
7b,continued_pretraining,arc_easy,0.3733164983164983,1800
7b,continued_pretraining,piqa,0.6060935799782372,1800
7b,continued_pretraining,sciq,0.724,1800
7b,continued_pretraining,winogrande,0.5035516969218626,1800
7b,continued_pretraining,arc_easy,0.4494949494949495,10800
7b,continued_pretraining,piqa,0.6556039173014145,10800
7b,continued_pretraining,sciq,0.774,10800
7b,continued_pretraining,winogrande,0.5153906866614049,10800
7b,continued_pretraining,arc_easy,0.47895622895622897,21600
7b,continued_pretraining,piqa,0.6626768226332971,21600
7b,continued_pretraining,sciq,0.813,21600
7b,continued_pretraining,winogrande,0.516179952644041,21600
7b,continued_pretraining,arc_easy,0.49284511784511786,39600
7b,continued_pretraining,piqa,0.6490750816104461,39600
7b,continued_pretraining,sciq,0.815,39600
7b,continued_pretraining,winogrande,0.5248618784530387,39600
7b,continued_pretraining,arc_easy,0.4911616161616162,46800
7b,continued_pretraining,piqa,0.6485310119695321,46800
7b,continued_pretraining,sciq,0.832,46800
7b,continued_pretraining,winogrande,0.5240726124704025,46800
7b,continued_pretraining,arc_easy,0.49663299663299665,43200
7b,continued_pretraining,piqa,0.6534276387377584,43200
7b,continued_pretraining,sciq,0.819,43200
7b,continued_pretraining,winogrande,0.5146014206787688,43200
